Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5-29-2019 11:05AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  estados.ngd
output file: estados_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P66,KPR,,I/O,,,1,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,entS,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P69,CLK,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P70,KPR,,I/O,,,1,,,,,,,
P71,KPR,,I/O,,,1,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P74,KPR,,I/O,,,1,,,,,,,
P75,KPR,,I/O,,,1,,,,,,,
P76,KPR,,I/O,,,1,,,,,,,
P77,KPR,,I/O,,,1,,,,,,,
P78,KPR,,I/O,,,1,,,,,,,
P79,KPR,,I/O,,,1,,,,,,,
P80,KPR,,I/O,,,1,,,,,,,
P81,KPR,,I/O,,,1,,,,,,,
P82,KPR,,I/O,,,1,,,,,,,
P83,KPR,,I/O,,,1,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,1,,,,,,,
P86,KPR,,I/O,,,1,,,,,,,
P87,KPR,,I/O,,,1,,,,,,,
P88,KPR,,I/O,,,1,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,1,,,,,,,
P92,KPR,,I/O,,,1,,,,,,,
P93,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P94,KPR,,I/O,,,2,,,,,,,
P95,KPR,,I/O,,,2,,,,,,,
P96,q<4>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P97,q<0>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P98,q<5>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P99,GND,,GND,,,,,,,,,,
P100,q<1>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P101,q<6>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P102,q<2>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P103,q<7>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P104,q<3>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P105,KPR,,I/O,,,2,,,,,,,
P106,KPR,,I/O,,,2,,,,,,,
P107,KPR,,I/O,,,2,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-3.3,VCCIO,,,2,,,,,,,
P110,KPR,,I/O,,,2,,,,,,,
P111,KPR,,I/O,,,2,,,,,,,
P112,KPR,,I/O,,,2,,,,,,,
P113,KPR,,I/O,,,2,,,,,,,
P114,CLR,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P115,KPR,,I/O,,,2,,,,,,,
P116,SEL<0>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P117,KPR,,I/O,,,2,,,,,,,
P118,SEL<1>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P119,KPR,,I/O,,,2,,,,,,,
P120,KPR,,I/O,,,2,,,,,,,
P121,KPR,,I/O,,,2,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,KPR,,I/O/DGE1,,,2,,,,,,,
P125,KPR,,I/O,,,2,,,,,,,
P126,KPR,,I/O,,,2,,,,,,,
P127,,VCCIO-3.3,VCCIO,,,2,,,,,,,
P128,KPR,,I/O,,,2,,,,,,,
P129,KPR,,I/O,,,2,,,,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,KPR,,I/O,,,2,,,,,,,
P132,KPR,,I/O,,,2,,,,,,,
P133,ent<0>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P134,KPR,,I/O,,,2,,,,,,,
P135,ent<1>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P136,KPR,,I/O,,,2,,,,,,,
P137,KPR,,I/O,,,2,,,,,,,
P138,ent<2>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P139,KPR,,I/O,,,2,,,,,,,
P140,ent<3>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P141,,VCCIO-3.3,VCCIO,,,2,,,,,,,
P142,KPR,,I/O,,,2,,,,,,,
P143,KPR,,I/O/GSR,,,2,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


